id,ASSIGN,BEGIN,COMMA,CONST,DIV,DO,END,EQUAL,GE,GT,ID,IF,LE,LPAREN,LT,MINUS,NEQ,NUM,PLUS,PROGRAM,RPAREN,SEMI,TERMINAL,THEN,TIMES,VAR,WHILE,AssignmentStatement,CompoundStatement,Condition,ConditionStatement,ConstantDeclaration,ConstantDefinition,EmptyStatement,Expression,Factor,Identifier,LoopStatement,M,NextConstantDefinition,NextID,NextStatement,Program,Program`,RelationalOperator,Statement,SubProgram,Term,VariableDeclaration,
85,,,,,s145,,,r22,r22,r22,,,r22,,r22,r22,r22,,r22,,,,,,s146,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,s37,,,s39,,,,s41,,,,,,,,,,,,,,,,,,147,38,,,,,,,,,,,,,
87,,,,,,,,,,,s37,,,s39,,,,s41,,,,,,,,,,,,,,,,,,148,38,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,s149,,,s150,,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,r27,,,,,,,,,,,r27,,,r27,,,,r27,,r27,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,r44,,,,,,,,,,,r44,,,r44,,,,r44,,r44,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,r30,,,,,,,,,,,r30,,,r30,,,,r30,,r30,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,s72,,,s74,,s75,,s76,s77,,,,,,,,,,,,,,,,151,71,73,,,,,,,,,,,78,,
93,,,,,,,,,,,s153,,,s155,,,,s156,,,,,,,,,,,,,,,,,,152,154,,,,,,,,,,,157,,
94,,,,,r31,,,,,,,,,,,r31,,,r31,,,,r31,,r31,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,s153,,,s155,,,,s156,,,,,,,,,,,,,,,,,,152,154,,,,,,,,,,,158,,
96,,,,,s159,,,,,,,,,,,r24,,,r24,,,,r24,,s160,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,s161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,r10,,,,,,,,,r10,r10,,,,,,,,,,,r10,,,,r10,,,,,,,,,,,,,,,,,,,,,,,
99,,r12,,,,,,,,,r12,r12,,,,,,,,,,,r12,,,,r12,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,s162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,s61,s62,s63,,,s64,,s65,s66,s67,,s68,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,,,
102,,,,,,,r15,,,,,,,,,,,,,,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,r13,,,,,,,,,,,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,r34,,,,,r34,,,,r34,r34,,,,,,,,,,r34,,,,,r34,,,,,,,,,,,,164,,,,,,,,,,,
105,,r34,,,,,r34,,,,r34,r34,,,,,,,,,,r34,,,,,r34,,,,,,,,,,,,165,,,,,,,,,,,
106,,,,,,,r21,,,,,,,,,s166,,,s167,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,r27,,r27,,,,,,,,,r27,,,r27,,,r27,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,r44,,r44,,,,,,,,,r44,,,r44,,,r44,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,r30,,r30,,,,,,,,,r30,,,r30,,,r30,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,s72,,,s74,,s75,,s76,s77,,,,,,,,,,,,,,,,168,71,73,,,,,,,,,,,78,,
111,,,,,,,,,,,s170,,,s172,,,,s173,,,,,,,,,,,,,,,,,,169,171,,,,,,,,,,,174,,
112,,,,,r31,,r31,,,,,,,,,r31,,,r31,,,r31,,,r31,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,s170,,,s172,,,,s173,,,,,,,,,,,,,,,,,,169,171,,,,,,,,,,,175,,
114,,,,,s176,,r24,,,,,,,,,r24,,,r24,,,r24,,,s177,,,,,,,,,,,,,,,,,,,,,,,,,
115,,s21,,,,,r43,,,,s11,s25,,,,,,,,,,r43,,,,,s29,20,22,,23,,,24,,,26,27,,,,,,,,178,,,,
116,,,,,,s179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,s55,,,,,,,,,,,,,,,,,,,s57,,,,,,,,,,,,,,,,,,180,,,,,,,,,,
118,,,r9,,,,,,,,,,,,,,,,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,s5,,,,,,,,,s11,s12,,,,,,,,,,,r43,,,,s19,4,7,,8,,,10,,,13,14,,,,,,,,181,,,,
120,,,,,s145,,,r26,r26,r26,,,r26,,r26,r26,r26,,r26,,,,,,s146,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,s145,,,r25,r25,r25,,,r25,,r25,r25,r25,,r25,,,,,,s146,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,s182,,,s183,,,,,r36,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,r27,,,,,,,,,,,r27,,,r27,,,,,r27,r27,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,r44,,,,,,,,,,,r44,,,r44,,,,,r44,r44,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,r30,,,,,,,,,,,r30,,,r30,,,,,r30,r30,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,s72,,,s74,,s75,,s76,s77,,,,,,,,,,,,,,,,184,71,73,,,,,,,,,,,78,,
127,,,,,,,,,,,s186,,,s188,,,,s189,,,,,,,,,,,,,,,,,,185,187,,,,,,,,,,,190,,
128,,,,,r31,,,,,,,,,,,r31,,,r31,,,,,r31,r31,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,s186,,,s188,,,,s189,,,,,,,,,,,,,,,,,,185,187,,,,,,,,,,,191,,
130,,,,,s192,,,,,,,,,,,r24,,,r24,,,,,r24,s193,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,s136,,,s138,,,,s139,,,,,,,,,,,,,,,,,,135,137,,,,,,,,,,,194,,
132,,,,,,,,,,,s136,,,s138,,,,s139,,,,,,,,,,,,,,,,,,135,137,,,,,,,,,,,195,,
133,,,,,r32,,,r32,r32,r32,,,r32,,r32,r32,r32,,r32,,,,,,r32,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,s131,,,s132,,s196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,r27,,,,,,,,,,,r27,,,r27,,r27,,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,r44,,,,,,,,,,,r44,,,r44,,r44,,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,r30,,,,,,,,,,,r30,,,r30,,r30,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,s72,,,s74,,s75,,s76,s77,,,,,,,,,,,,,,,,197,71,73,,,,,,,,,,,78,,
139,,,,,r31,,,,,,,,,,,r31,,,r31,,r31,,,,r31,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,s198,,,,,,,,,,,r23,,,r23,,r23,,,,s199,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,s198,,,,,,,,,,,r22,,,r22,,r22,,,,s199,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,s72,,,s74,,,,s76,,,,,,,,,,,,,,,,,,200,73,,,,,,,,,,,,,
143,,,,,,,,,,,s72,,,s74,,,,s76,,,,,,,,,,,,,,,,,,201,73,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,s131,,,s132,,s202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,s80,,,s82,,,,s83,,,,,,,,,,,,,,,,,,203,81,,,,,,,,,,,,,
146,,,,,,,,,,,s80,,,s82,,,,s83,,,,,,,,,,,,,,,,,,204,81,,,,,,,,,,,,,
147,,,,,r29,,,r29,r29,r29,,,r29,,r29,r29,r29,,r29,,,,,,r29,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,r28,,,r28,r28,r28,,,r28,,r28,r28,r28,,r28,,,,,,r28,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,s153,,,s155,,,,s156,,,,,,,,,,,,,,,,,,152,154,,,,,,,,,,,205,,
150,,,,,,,,,,,s153,,,s155,,,,s156,,,,,,,,,,,,,,,,,,152,154,,,,,,,,,,,206,,
151,,,,,,,,,,,,,,,,s131,,,s132,,s207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,r27,,,,,,,,,,,r27,,,r27,,,,r27,,r27,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,r44,,,,,,,,,,,r44,,,r44,,,,r44,,r44,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,r30,,,,,,,,,,,r30,,,r30,,,,r30,,r30,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,s72,,,s74,,s75,,s76,s77,,,,,,,,,,,,,,,,208,71,73,,,,,,,,,,,78,,
156,,,,,r31,,,,,,,,,,,r31,,,r31,,,,r31,,r31,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,s209,,,,,,,,,,,r23,,,r23,,,,r23,,s210,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,s209,,,,,,,,,,,r22,,,r22,,,,r22,,s210,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,s90,,,s92,,,,s94,,,,,,,,,,,,,,,,,,211,91,,,,,,,,,,,,,
