id,ASSIGN,BEGIN,COMMA,CONST,DIV,DO,END,EQUAL,GE,GT,ID,IF,LE,LPAREN,LT,MINUS,NEQ,NUM,PLUS,PROGRAM,RPAREN,SEMI,TERMINAL,THEN,TIMES,VAR,WHILE,AssignmentStatement,CompoundStatement,Condition,ConditionStatement,ConstantDeclaration,ConstantDefinition,EmptyStatement,Expression,Factor,Identifier,LoopStatement,M,NextConstantDefinition,NextID,NextStatement,Program,Program`,RelationalOperator,Statement,SubProgram,Term,VariableDeclaration,
206,,,,,s209,,,,,,,,,,,r25,,,r25,,,,r25,,s210,,,,,,,,,,,,,,,,,,,,,,,,,
207,,,,,r32,,,,,,,,,,,r32,,,r32,,,,r32,,r32,,,,,,,,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,s131,,,s132,,s247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,s153,,,s155,,,,s156,,,,,,,,,,,,,,,,,,248,154,,,,,,,,,,,,,
210,,,,,,,,,,,s153,,,s155,,,,s156,,,,,,,,,,,,,,,,,,249,154,,,,,,,,,,,,,
211,,,,,r29,,,,,,,,,,,r29,,,r29,,,,r29,,r29,,,,,,,,,,,,,,,,,,,,,,,,,
212,,,,,r28,,,,,,,,,,,r28,,,r28,,,,r28,,r28,,,,,,,,,,,,,,,,,,,,,,,,,
213,,r11,,,,,,,,,r11,r11,,,,,,,,,,,r11,,,,r11,,,,,,,,,,,,,,,,,,,,,,,
214,,s5,,,,,,,,,s11,s12,,,,,,,,,,,r43,,,,s19,4,7,,8,,,10,,,13,14,,,,,,,,250,,,,
215,,,,,,r36,,,,,,,,,,s251,,,s252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,,,,,r27,r27,,,,,,,,,,r27,,,r27,,,,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,
217,,,,,r44,r44,,,,,,,,,,r44,,,r44,,,,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,
218,,,,,r30,r30,,,,,,,,,,r30,,,r30,,,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,
219,,,,,,,,,,,s72,,,s74,,s75,,s76,s77,,,,,,,,,,,,,,,,253,71,73,,,,,,,,,,,78,,
220,,,,,,,,,,,s255,,,s257,,,,s258,,,,,,,,,,,,,,,,,,254,256,,,,,,,,,,,259,,
221,,,,,r31,r31,,,,,,,,,,r31,,,r31,,,,,,r31,,,,,,,,,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,s255,,,s257,,,,s258,,,,,,,,,,,,,,,,,,254,256,,,,,,,,,,,260,,
223,,,,,s261,r24,,,,,,,,,,r24,,,r24,,,,,,s262,,,,,,,,,,,,,,,,,,,,,,,,,
224,,,,,,,s102,,,,,,,,,,,,,,,s104,,,,,,,,,,,,,,,,,,,,263,,,,,,,,
225,,,,,,,r33,,,,,,,,,,,,,,,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,,,,s230,,r26,,,,,,,,,r26,,,r26,,,r26,,,s231,,,,,,,,,,,,,,,,,,,,,,,,,
227,,,,,s230,,r25,,,,,,,,,r25,,,r25,,,r25,,,s231,,,,,,,,,,,,,,,,,,,,,,,,,
228,,,,,r32,,r32,,,,,,,,,r32,,,r32,,,r32,,,r32,,,,,,,,,,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,s131,,,s132,,s264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,s170,,,s172,,,,s173,,,,,,,,,,,,,,,,,,265,171,,,,,,,,,,,,,
231,,,,,,,,,,,s170,,,s172,,,,s173,,,,,,,,,,,,,,,,,,266,171,,,,,,,,,,,,,
232,,,,,r29,,r29,,,,,,,,,r29,,,r29,,,r29,,,r29,,,,,,,,,,,,,,,,,,,,,,,,,
233,,,,,r28,,r28,,,,,,,,,r28,,,r28,,,r28,,,r28,,,,,,,,,,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,,,,,,,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,,s21,,,,,r43,,,,s11,s25,,,,,,,,,,r43,,,,,s29,20,22,,23,,,24,,,26,27,,,,,,,,267,,,,
236,,,,,s240,,,,,,,,,,,r26,,,r26,,,,,r26,s241,,,,,,,,,,,,,,,,,,,,,,,,,
237,,,,,s240,,,,,,,,,,,r25,,,r25,,,,,r25,s241,,,,,,,,,,,,,,,,,,,,,,,,,
238,,,,,r32,,,,,,,,,,,r32,,,r32,,,,,r32,r32,,,,,,,,,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,s131,,,s132,,s268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,,,,,,,,,,,s186,,,s188,,,,s189,,,,,,,,,,,,,,,,,,269,187,,,,,,,,,,,,,
241,,,,,,,,,,,s186,,,s188,,,,s189,,,,,,,,,,,,,,,,,,270,187,,,,,,,,,,,,,
242,,,,,r29,,,,,,,,,,,r29,,,r29,,,,,r29,r29,,,,,,,,,,,,,,,,,,,,,,,,,
