id,ASSIGN,BEGIN,COMMA,CONST,DIV,DO,END,EQUAL,GE,GT,ID,IF,LE,LPAREN,LT,MINUS,NEQ,NUM,PLUS,PROGRAM,RPAREN,SEMI,TERMINAL,THEN,TIMES,VAR,WHILE,AssignmentStatement,CompoundStatement,Condition,ConditionStatement,ConstantDeclaration,ConstantDefinition,EmptyStatement,Expression,Factor,Identifier,LastStatement,LoopStatement,M,NextConstantDefinition,NextID,Program,Program`,RelationalOperator,Statement,SubProgram,Term,VariableDeclaration,
201,,,,,r28,,,r28,r28,r28,,,r28,,r28,r28,r28,,r28,,,,,,r28,,,,,,,,,,,,,,,,,,,,,,,,,
202,,,,,s206,,,,,,,,,,,r26,,,r26,,,,r26,,s207,,,,,,,,,,,,,,,,,,,,,,,,,
203,,,,,s206,,,,,,,,,,,r25,,,r25,,,,r25,,s207,,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,r32,,,,,,,,,,,r32,,,r32,,,,r32,,r32,,,,,,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,s129,,,s130,,s242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,s151,,,s153,,,,s154,,,,,,,,,,,,,,,,,,243,152,,,,,,,,,,,,,
207,,,,,,,,,,,s151,,,s153,,,,s154,,,,,,,,,,,,,,,,,,244,152,,,,,,,,,,,,,
208,,,,,r29,,,,,,,,,,,r29,,,r29,,,,r29,,r29,,,,,,,,,,,,,,,,,,,,,,,,,
209,,,,,r28,,,,,,,,,,,r28,,,r28,,,,r28,,r28,,,,,,,,,,,,,,,,,,,,,,,,,
210,,r11,,,,,,,,,r11,r11,,,,,,,,,,,r11,,,,r11,,,,,,,,,,,,,,,,,,,,,,,
211,,s5,,,,,,,,,s11,s12,,,,,,,,,,,r43,,,,s19,4,7,,8,,,10,,,13,,14,,,,,,,245,,,,
212,,,,,,r36,,,,,,,,,,s246,,,s247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,,,,,r27,r27,,,,,,,,,,r27,,,r27,,,,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,
214,,,,,r44,r44,,,,,,,,,,r44,,,r44,,,,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,
215,,,,,r30,r30,,,,,,,,,,r30,,,r30,,,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,s72,,,s74,,s75,,s76,s77,,,,,,,,,,,,,,,,248,71,73,,,,,,,,,,,78,,
