id,ASSIGN,BEGIN,COMMA,CONST,DIV,DO,END,EQUAL,GE,GT,ID,IF,LE,LPAREN,LT,MINUS,NEQ,NUM,PLUS,PROGRAM,RPAREN,SEMI,TERMINAL,THEN,TIMES,VAR,WHILE,AssignmentStatement,CompoundStatement,Condition,ConditionStatement,ConstantDeclaration,ConstantDefinition,EmptyStatement,Expression,Factor,Identifier,LastStatement,LoopStatement,M,NextConstantDefinition,NextID,Program,Program`,RelationalOperator,Statement,SubProgram,Term,VariableDeclaration,
85,,,,,s143,,,r22,r22,r22,,,r22,,r22,r22,r22,,r22,,,,,,s144,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,s38,,,s40,,,,s42,,,,,,,,,,,,,,,,,,145,39,,,,,,,,,,,,,
87,,,,,,,,,,,s38,,,s40,,,,s42,,,,,,,,,,,,,,,,,,146,39,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,s147,,,s148,,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,r27,,,,,,,,,,,r27,,,r27,,,,r27,,r27,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,r44,,,,,,,,,,,r44,,,r44,,,,r44,,r44,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,r30,,,,,,,,,,,r30,,,r30,,,,r30,,r30,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,s72,,,s74,,s75,,s76,s77,,,,,,,,,,,,,,,,149,71,73,,,,,,,,,,,78,,
93,,,,,,,,,,,s151,,,s153,,,,s154,,,,,,,,,,,,,,,,,,150,152,,,,,,,,,,,155,,
94,,,,,r31,,,,,,,,,,,r31,,,r31,,,,r31,,r31,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,s151,,,s153,,,,s154,,,,,,,,,,,,,,,,,,150,152,,,,,,,,,,,156,,
96,,,,,s157,,,,,,,,,,,r24,,,r24,,,,r24,,s158,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,s159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,r10,,,,,,,,,r10,r10,,,,,,,,,,,r10,,,,r10,,,,,,,,,,,,,,,,,,,,,,,
99,,r12,,,,,,,,,r12,r12,,,,,,,,,,,r12,,,,r12,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,s160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,s61,s62,s63,,,s64,,s65,s66,s67,,s68,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,
102,,,,,,,r13,,,,,,,,,,,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,r34,,,,,r34,,,,r34,r34,,,,,,,,,,r34,,,,,r34,,,,,,,,,,,,,162,,,,,,,,,,
104,,,,,,,r21,,,,,,,,,s163,,,s164,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,r27,,r27,,,,,,,,,r27,,,r27,,,r27,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,r44,,r44,,,,,,,,,r44,,,r44,,,r44,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,r30,,r30,,,,,,,,,r30,,,r30,,,r30,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,s72,,,s74,,s75,,s76,s77,,,,,,,,,,,,,,,,165,71,73,,,,,,,,,,,78,,
109,,,,,,,,,,,s167,,,s169,,,,s170,,,,,,,,,,,,,,,,,,166,168,,,,,,,,,,,171,,
110,,,,,r31,,r31,,,,,,,,,r31,,,r31,,,r31,,,r31,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,s167,,,s169,,,,s170,,,,,,,,,,,,,,,,,,166,168,,,,,,,,,,,172,,
112,,,,,s173,,r24,,,,,,,,,r24,,,r24,,,r24,,,s174,,,,,,,,,,,,,,,,,,,,,,,,,
113,,s21,,,,,r43,,,,s11,s25,,,,,,,,,,r43,,,,,s30,20,22,,23,,,24,,,26,,28,,,,,,,175,,,,
114,,,,,,s176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,s55,,,,,,,,,,,,,,,,,,,s57,,,,,,,,,,,,,,,,,,,177,,,,,,,,,
116,,,r9,,,,,,,,,,,,,,,,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,s5,,,,,,,,,s11,s12,,,,,,,,,,,r43,,,,s19,4,7,,8,,,10,,,13,,14,,,,,,,178,,,,
118,,,,,s143,,,r26,r26,r26,,,r26,,r26,r26,r26,,r26,,,,,,s144,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,s143,,,r25,r25,r25,,,r25,,r25,r25,r25,,r25,,,,,,s144,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,s179,,,s180,,,,,r36,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,r27,,,,,,,,,,,r27,,,r27,,,,,r27,r27,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,r44,,,,,,,,,,,r44,,,r44,,,,,r44,r44,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,r30,,,,,,,,,,,r30,,,r30,,,,,r30,r30,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,s72,,,s74,,s75,,s76,s77,,,,,,,,,,,,,,,,181,71,73,,,,,,,,,,,78,,
125,,,,,,,,,,,s183,,,s185,,,,s186,,,,,,,,,,,,,,,,,,182,184,,,,,,,,,,,187,,
126,,,,,r31,,,,,,,,,,,r31,,,r31,,,,,r31,r31,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,s183,,,s185,,,,s186,,,,,,,,,,,,,,,,,,182,184,,,,,,,,,,,188,,
128,,,,,s189,,,,,,,,,,,r24,,,r24,,,,,r24,s190,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,s134,,,s136,,,,s137,,,,,,,,,,,,,,,,,,133,135,,,,,,,,,,,191,,
130,,,,,,,,,,,s134,,,s136,,,,s137,,,,,,,,,,,,,,,,,,133,135,,,,,,,,,,,192,,
131,,,,,r32,,,r32,r32,r32,,,r32,,r32,r32,r32,,r32,,,,,,r32,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,s129,,,s130,,s193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,r27,,,,,,,,,,,r27,,,r27,,r27,,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,r44,,,,,,,,,,,r44,,,r44,,r44,,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,r30,,,,,,,,,,,r30,,,r30,,r30,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,s72,,,s74,,s75,,s76,s77,,,,,,,,,,,,,,,,194,71,73,,,,,,,,,,,78,,
137,,,,,r31,,,,,,,,,,,r31,,,r31,,r31,,,,r31,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,s195,,,,,,,,,,,r23,,,r23,,r23,,,,s196,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,s195,,,,,,,,,,,r22,,,r22,,r22,,,,s196,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,s72,,,s74,,,,s76,,,,,,,,,,,,,,,,,,197,73,,,,,,,,,,,,,
141,,,,,,,,,,,s72,,,s74,,,,s76,,,,,,,,,,,,,,,,,,198,73,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,s129,,,s130,,s199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,s80,,,s82,,,,s83,,,,,,,,,,,,,,,,,,200,81,,,,,,,,,,,,,
144,,,,,,,,,,,s80,,,s82,,,,s83,,,,,,,,,,,,,,,,,,201,81,,,,,,,,,,,,,
145,,,,,r29,,,r29,r29,r29,,,r29,,r29,r29,r29,,r29,,,,,,r29,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,r28,,,r28,r28,r28,,,r28,,r28,r28,r28,,r28,,,,,,r28,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,s151,,,s153,,,,s154,,,,,,,,,,,,,,,,,,150,152,,,,,,,,,,,202,,
148,,,,,,,,,,,s151,,,s153,,,,s154,,,,,,,,,,,,,,,,,,150,152,,,,,,,,,,,203,,
149,,,,,,,,,,,,,,,,s129,,,s130,,s204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,r27,,,,,,,,,,,r27,,,r27,,,,r27,,r27,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,r44,,,,,,,,,,,r44,,,r44,,,,r44,,r44,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,r30,,,,,,,,,,,r30,,,r30,,,,r30,,r30,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,s72,,,s74,,s75,,s76,s77,,,,,,,,,,,,,,,,205,71,73,,,,,,,,,,,78,,
